country,agent_name,fb_slug,page_id,facebook_url,active_ads,unis_found,status,search_url,ad_num,ad_text
Thailand,One Education Consulting,OneEducationGroup,,https://www.facebook.com/OneEducationGroup,240,,ok,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=TH&search_type=page&q=OneEducationGroup,1,"Six months ago, Mohammed was just another grad student with a half-finished draft. Now he’s presenting his third published study at an international conference—fellow researchers stopping by his poster in awe. Want that same leap? 0:00 / 13:01 Get Published with Our Help Library ID: 2844738692561194 Started running on 6 Mar 2026 Platforms EU transparency ReelsGo Chill Time At Night En"
Thailand,One Education Consulting,OneEducationGroup,,https://www.facebook.com/OneEducationGroup,240,,ok,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=TH&search_type=page&q=OneEducationGroup,2,साल 2026 के टॉप 10 ड्रामा 0:00 / 10:34 PLAY.GOOGLE.COM अब देखिए Install now Library ID: 4045688669078446 Started running on 27 Aug 2025 Platforms This ad is not active for some audiences because it did not meet certain requirements. EU transparency VideoExpress.ai
Thailand,One Education Consulting,OneEducationGroup,,https://www.facebook.com/OneEducationGroup,240,,ok,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=TH&search_type=page&q=OneEducationGroup,3,"✨ No cameras, no crew: Turn your just your imagination to animated music videos, short films, and more. ✨ Featured Creation: This delightful children’s educational video was created using AI by our talented customer @Kael Sayne Meta Group Member. 👉 See All Features Here: https://videoexpress.ai/fbdeal/ Here’s what you can do with VideoExpress 2.0: 🔥 Text-to-Video Generator Type your thoughts and i"
Thailand,One Education Consulting,OneEducationGroup,,https://www.facebook.com/OneEducationGroup,240,,ok,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=TH&search_type=page&q=OneEducationGroup,4,"Teaching is challenging—professional learning works best when educators grow together. Join ISTE+ASCD through a group digital membership and connect your school or organization to a global community of educators. Access trusted tools and meaningful learning experiences designed to help teams transform learning, all year long. ISTE-ASCD.ORG Learn, Connect, Lead The ISTE and ASCD merger brings toget"
Thailand,One Education Consulting,OneEducationGroup,,https://www.facebook.com/OneEducationGroup,240,,ok,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=TH&search_type=page&q=OneEducationGroup,5,"A simple, short and impressive story of a young man who went through many events to reach a life of freedom. 0:00 / 8:56 Library ID: 25739147255747517 Started running on 2 Feb 2026 Platforms EU transparency ISTE"
Thailand,One Education Consulting,OneEducationGroup,,https://www.facebook.com/OneEducationGroup,240,,ok,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=TH&search_type=page&q=OneEducationGroup,6,"Designed for educators and leaders worldwide, ISTE+ASCD group digital membership helps schools and organizations stay connected, informed, and inspired as part of a global community—wherever learning happens. ISTE-ASCD.ORG Global Access + Professional Growth The ISTE and ASCD merger brings together two powerful voices in education to design the future of learning. Library ID: 1550221386198817 Star"
Thailand,One Education Consulting,OneEducationGroup,,https://www.facebook.com/OneEducationGroup,240,,ok,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=TH&search_type=page&q=OneEducationGroup,7,"Teaching is challenging—professional learning works best when educators grow together. Join ISTE+ASCD through a group digital membership and connect your school or organization to a global community of educators. Access trusted tools and meaningful learning experiences designed to help teams transform learning, all year long. ISTE-ASCD.ORG Learn, Connect, Lead The ISTE and ASCD merger brings toget"
Thailand,One Education Consulting,OneEducationGroup,,https://www.facebook.com/OneEducationGroup,240,,ok,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=TH&search_type=page&q=OneEducationGroup,8,"Designed for educators and leaders worldwide, ISTE+ASCD group digital membership helps schools and organizations stay connected, informed, and inspired as part of a global community—wherever learning happens. ISTE-ASCD.ORG Global Access + Professional Growth The ISTE and ASCD merger brings together two powerful voices in education to design the future of learning. Library ID: 26488252590824950 Sta"
Thailand,One Education Consulting,OneEducationGroup,,https://www.facebook.com/OneEducationGroup,240,,ok,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=TH&search_type=page&q=OneEducationGroup,9,पूरा ड्रामा ऐप में उपलब्ध है! कोई रजिस्ट्रेशन नहीं। कोई सब्सक्रिप्शन नहीं। बिल्कुल मुफ्त! 🎬📱 0:00 / 10:30 Library ID: 4367917273527568 Started running on 2 Feb 2026 Platforms EU transparency ISTE
Thailand,One Education Consulting,OneEducationGroup,,https://www.facebook.com/OneEducationGroup,240,,ok,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=TH&search_type=page&q=OneEducationGroup,10,"Designed for educators and leaders worldwide, ISTE+ASCD group digital membership helps schools and organizations stay connected, informed, and inspired as part of a global community—wherever learning happens. ISTE-ASCD.ORG Global Access + Professional Growth The ISTE and ASCD merger brings together two powerful voices in education to design the future of learning. Library ID: 1397444238743052 Star"
